Calls,Measured latency Average,Measured latency Maximum,Measured latency Mininmum,Measured throughput Average,Measured throughput Mininmum,Measured throughputMaximum,Module,Perc,Task,Time,Timer,Noise_Level,Config_Hash,Task_ID,Signal Noise Ratio(SNR).Eb/N0(dB),Signal Noise Ratio(SNR).Es/N0(dB),Signal Noise Ratio(SNR).Sigma
122,827.934814453125,1989.5960693359373,545.8720092773438,2.4736247062683105,1.029354691505432,3.7517952919006343,Monitor,40.522090911865234,get_mutual_info,0.1010080352425575,0.1010080352425575,0,80ed751d67d81b6b4bf5fcfb23843c3849a2e88d24053d766653285f7d2c358a,0,1.0,0.2495532035827636,0.6870800852775574
122,416.1737060546875,1545.3291015625,244.5820159912109,4.921021938323975,1.3252840042114258,8.373469352722168,Encoder,20.369029998779297,encode,0.0507731847465038,0.0507731847465038,0,80ed751d67d81b6b4bf5fcfb23843c3849a2e88d24053d766653285f7d2c358a,1,1.0,0.2495532035827636,0.6870800852775574
122,401.7856140136719,621.5660400390625,325.3190002441406,5.097245693206787,3.29490327835083,6.295359134674072,Channel,19.664825439453125,add_noise,0.0490178391337394,0.0490178391337394,0,80ed751d67d81b6b4bf5fcfb23843c3849a2e88d24053d766653285f7d2c358a,2,1.0,0.2495532035827636,0.6870800852775574
122,222.0255889892578,344.3790283203125,150.52301025390625,7.760366916656494,5.003208160400391,11.446754455566406,Decoder,10.866726875305176,decode_siho,0.0270871184766292,0.0270871184766292,0,80ed751d67d81b6b4bf5fcfb23843c3849a2e88d24053d766653285f7d2c358a,3,1.0,0.2495532035827636,0.6870800852775574
122,91.31036376953124,383.4300231933594,62.67400360107422,18.869709014892575,4.493649005889893,27.49146270751953,Monitor,4.469056606292725,check_errors,0.0111398641020059,0.0111398641020059,0,80ed751d67d81b6b4bf5fcfb23843c3849a2e88d24053d766653285f7d2c358a,4,1.0,0.2495532035827636,0.6870800852775574
122,71.0177230834961,101.34700775146484,46.17100143432617,0.0140809919685125,0.0098670898005366,0.0216586161404848,Source,3.4758620262146,generate,0.0086641618981957,0.0086641618981957,0,80ed751d67d81b6b4bf5fcfb23843c3849a2e88d24053d766653285f7d2c358a,5,1.0,0.2495532035827636,0.6870800852775574
122,6.504073619842529,21.38400077819824,4.148000240325928,314.87957763671875,95.77253723144533,493.7319030761719,Modem,0.3183326721191406,modulate,0.0007934969617053,0.0007934969617053,0,80ed751d67d81b6b4bf5fcfb23843c3849a2e88d24053d766653285f7d2c358a,6,1.0,0.2495532035827636,0.6870800852775574
122,6.417123317718506,11.863000869750977,4.455000400543213,319.1461181640625,172.63760375976562,459.7081604003906,Modem,0.3140769898891449,demodulate,0.0007828889647498,0.0007828889647498,0,80ed751d67d81b6b4bf5fcfb23843c3849a2e88d24053d766653285f7d2c358a,7,1.0,0.2495532035827636,0.6870800852775574
120,806.425048828125,4811.91943359375,530.8070068359375,2.5396037101745605,0.4256097972393036,3.858276128768921,Monitor,39.29687881469727,get_mutual_info,0.0967709943652153,0.0967709943652153,1,80ed751d67d81b6b4bf5fcfb23843c3849a2e88d24053d766653285f7d2c358a,0,2.0,1.2495532035827637,0.6123607158660889
120,392.1097717285156,541.0859985351562,323.5060119628906,5.223027229309082,3.784980535507202,6.330639839172363,Channel,19.107402801513672,add_noise,0.0470531657338142,0.0470531657338142,1,80ed751d67d81b6b4bf5fcfb23843c3849a2e88d24053d766653285f7d2c358a,1,2.0,1.2495532035827637,0.6123607158660889
120,382.7168884277344,494.0970153808594,248.45501708984372,5.3512139320373535,4.144935131072998,8.242940902709961,Encoder,18.64969062805176,encode,0.0459260232746601,0.0459260232746601,1,80ed751d67d81b6b4bf5fcfb23843c3849a2e88d24053d766653285f7d2c358a,2,2.0,1.2495532035827637,0.6123607158660889
120,256.2245483398437,4222.96142578125,152.3400115966797,6.724570274353027,0.4080075025558471,11.310226440429688,Decoder,12.485754013061523,decode_siho,0.0307469423860311,0.0307469423860311,1,80ed751d67d81b6b4bf5fcfb23843c3849a2e88d24053d766653285f7d2c358a,3,2.0,1.2495532035827637,0.6123607158660889
120,121.0356903076172,4113.4453125,63.04400253295898,14.235469818115234,0.4188702702522278,27.33011817932129,Monitor,5.898037433624268,check_errors,0.014524282887578,0.014524282887578,1,80ed751d67d81b6b4bf5fcfb23843c3849a2e88d24053d766653285f7d2c358a,4,2.0,1.2495532035827637,0.6123607158660889
120,81.17420959472656,1637.4400634765625,44.97200393676758,0.0123191839084029,0.0006107093649916,0.022236056625843,Source,3.9555978775024414,generate,0.0097409049049019,0.0097409049049019,1,80ed751d67d81b6b4bf5fcfb23843c3849a2e88d24053d766653285f7d2c358a,5,2.0,1.2495532035827637,0.6123607158660889
120,6.335442066192627,21.779001235961918,3.9680001735687256,323.2607727050781,94.03553009033205,516.1290283203125,Modem,0.3087244033813476,demodulate,0.0007602529949508,0.0007602529949508,1,80ed751d67d81b6b4bf5fcfb23843c3849a2e88d24053d766653285f7d2c358a,6,2.0,1.2495532035827637,0.6123607158660889
120,6.113592147827148,10.44800090789795,3.930000305175781,334.99127197265625,196.0183563232422,521.1195678710938,Modem,0.2979137003421783,modulate,0.0007336309645324,0.0007336309645324,1,80ed751d67d81b6b4bf5fcfb23843c3849a2e88d24053d766653285f7d2c358a,7,2.0,1.2495532035827637,0.6123607158660889
